season,round,race_name,circuit_id,race_date,driver_id,driver_code,constructor_id,finish_position,grid_position,status,points
2010,9,European Grand Prix,valencia,2010-06-27,webber,WEB,red_bull,24,2,Collision,0.0
2010,10,British Grand Prix,silverstone,2010-07-11,webber,WEB,red_bull,1,2,Finished,25.0
2010,10,British Grand Prix,silverstone,2010-07-11,hamilton,HAM,mclaren,2,4,Finished,18.0
2010,10,British Grand Prix,silverstone,2010-07-11,rosberg,ROS,mercedes,3,5,Finished,15.0
2010,10,British Grand Prix,silverstone,2010-07-11,button,BUT,mclaren,4,14,Finished,12.0
2010,10,British Grand Prix,silverstone,2010-07-11,barrichello,BAR,williams,5,8,Finished,10.0
2010,10,British Grand Prix,silverstone,2010-07-11,kobayashi,KOB,sauber,6,12,Finished,8.0
2010,10,British Grand Prix,silverstone,2010-07-11,vettel,VET,red_bull,7,1,Finished,6.0
2010,10,British Grand Prix,silverstone,2010-07-11,sutil,SUT,force_india,8,11,Finished,4.0
2010,10,British Grand Prix,silverstone,2010-07-11,michael_schumacher,MSC,mercedes,9,10,Finished,2.0
2010,10,British Grand Prix,silverstone,2010-07-11,hulkenberg,HUL,williams,10,13,Finished,1.0
2010,10,British Grand Prix,silverstone,2010-07-11,liuzzi,LIU,force_india,11,20,Finished,0.0
2010,10,British Grand Prix,silverstone,2010-07-11,buemi,BUE,toro_rosso,12,16,Finished,0.0
2010,10,British Grand Prix,silverstone,2010-07-11,petrov,PET,renault,13,15,Finished,0.0
2010,10,British Grand Prix,silverstone,2010-07-11,alonso,ALO,ferrari,14,3,Finished,0.0
2010,10,British Grand Prix,silverstone,2010-07-11,massa,MAS,ferrari,15,7,Finished,0.0
2010,10,British Grand Prix,silverstone,2010-07-11,trulli,TRU,lotus_racing,16,21,+1 Lap,0.0
2010,10,British Grand Prix,silverstone,2010-07-11,kovalainen,KOV,lotus_racing,17,18,+1 Lap,0.0
2010,10,British Grand Prix,silverstone,2010-07-11,glock,GLO,virgin,18,19,+2 Laps,0.0
2010,10,British Grand Prix,silverstone,2010-07-11,chandhok,CHA,hrt,19,23,+2 Laps,0.0
2010,10,British Grand Prix,silverstone,2010-07-11,yamamoto,YAM,hrt,20,24,+2 Laps,0.0
2010,10,British Grand Prix,silverstone,2010-07-11,alguersuari,ALG,toro_rosso,21,17,Brakes,0.0
2010,10,British Grand Prix,silverstone,2010-07-11,rosa,DLR,sauber,22,9,Collision,0.0
2010,10,British Grand Prix,silverstone,2010-07-11,kubica,KUB,renault,23,6,Driveshaft,0.0
2010,10,British Grand Prix,silverstone,2010-07-11,grassi,DIG,virgin,24,22,Hydraulics,0.0
2010,11,German Grand Prix,hockenheimring,2010-07-25,alonso,ALO,ferrari,1,2,Finished,25.0
2010,11,German Grand Prix,hockenheimring,2010-07-25,massa,MAS,ferrari,2,3,Finished,18.0
2010,11,German Grand Prix,hockenheimring,2010-07-25,vettel,VET,red_bull,3,1,Finished,15.0
2010,11,German Grand Prix,hockenheimring,2010-07-25,hamilton,HAM,mclaren,4,6,Finished,12.0
2010,11,German Grand Prix,hockenheimring,2010-07-25,button,BUT,mclaren,5,5,Finished,10.0
2010,11,German Grand Prix,hockenheimring,2010-07-25,webber,WEB,red_bull,6,4,Finished,8.0
2010,11,German Grand Prix,hockenheimring,2010-07-25,kubica,KUB,renault,7,7,+1 Lap,6.0
2010,11,German Grand Prix,hockenheimring,2010-07-25,rosberg,ROS,mercedes,8,9,+1 Lap,4.0
2010,11,German Grand Prix,hockenheimring,2010-07-25,michael_schumacher,MSC,mercedes,9,11,+1 Lap,2.0
2010,11,German Grand Prix,hockenheimring,2010-07-25,petrov,PET,renault,10,13,+1 Lap,1.0
2010,11,German Grand Prix,hockenheimring,2010-07-25,kobayashi,KOB,sauber,11,12,+1 Lap,0.0
2010,11,German Grand Prix,hockenheimring,2010-07-25,barrichello,BAR,williams,12,8,+1 Lap,0.0
2010,11,German Grand Prix,hockenheimring,2010-07-25,hulkenberg,HUL,williams,13,10,+1 Lap,0.0
2010,11,German Grand Prix,hockenheimring,2010-07-25,rosa,DLR,sauber,14,14,+1 Lap,0.0
2010,11,German Grand Prix,hockenheimring,2010-07-25,alguersuari,ALG,toro_rosso,15,15,+1 Lap,0.0
2010,11,German Grand Prix,hockenheimring,2010-07-25,liuzzi,LIU,force_india,16,21,+2 Laps,0.0
